Struktur;OZ;Kurz-Info;Kurztext alt;Massen;Einheiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2.  90. ;;Heizungspumpe 005 Stratos MAXO-D 50/0,5-6 PN6/10;1;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 100. ;;Heizungspumpe 006 Yonos MAXO plus 30/0,5-10;6;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 110. ;;Wärmemengenzähler DN15 (UG);2;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 120. ;;Wärmemengenzähler (Mieteinheitsanschluss, werden gemietet);0;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Armaturen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 130. ;;Absperrklappen Flanschanschluss DN100 inkl. Dämmung;14;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 140. ;;Absperrklappen Flanschanschluss DN65-DN80 inkl. Dämmung;18;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 150. ;;Absperrventile DN50-DN32 inkl. Dämmung;26;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 160. ;;Absperrventile  DN15 (Entleerung, Entlüfting);48;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 170. ;;Absperrventile  DN25-DN32 (ME Anschluss) mit Dämmung;94;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 180. ;;Schmutzfänger DN100-DN65 inkl. Dämmung;6;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 190. ;;Rückschlagventil Zwischenflanscharmatur DN100;2;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 200. ;;Rückschlagventil Zwischenflanscharmatur DN50-DN80;6;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 210. ;;Sicherheitsventile;3;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 220. ;;Thermometer inkl.  (TZ);32;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 230. ;;Manometer inkl. Anschlussbogen (TZ);44;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 240. ;;Differenzdruckregelventil (ME Anschluss);52;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 250. ;;Thermometer inkl. Anschweißmuffe (ME Anschluss);52;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 260. ;;Manometer inkl. Anschlussbogen (ME Anschluss);104;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 270. ;;Flanschanschluss DN100-DN65;92;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Rohrleitungen grundiert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 280. ;;Stahlrohr Prestabo DN15 inkl. Formstücke, Dämmung, Befestigung;1087;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 290. ;;Stahlrohr Prestabo DN20 inkl. Formstücke, Dämmung, Befestigung;261;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 300. ;;Stahlrohr Prestabo DN25 inkl. Formstücke, Dämmung, Befestigung;31;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 310. ;;Stahlrohr Prestabo DN32 inkl. Formstücke, Dämmung, Befestigung;128;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 320. ;;Stahlrohr Prestabo DN40 inkl. Formstücke, Dämmung, Befestigung;601;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 330. ;;Stahlrohr Prestabo DN50 inkl. Formstücke, Dämmung, Befestigung;394;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 340. ;;Stahlrohr Prestabo DN65 inkl. Formstücke, Dämmung, Befestigung;407;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 350. ;;Stahlrohr Prestabo DN80 inkl. Formstücke, Dämmung, Befestigung;176;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 360. ;;Stahlrohr Prestabo DN100 inkl. Formstücke, Dämmung, Befestigung;90;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 370. ;;Lufttöpfe;12;St;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 2. 2. 380. ;;Begleitheizung Dach (Anschlüsse an RLT Anlagen);336;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 9.;;KG490 Baustelleneinrichtung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 9. 1.;;KG491 Baustelleneinrichtung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 9. 1.  10. ;;Baustromverteiler mit Verkabelung  (in BE enthalten);0;psch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 9. 1.  20. ;;Baustellen Grundbeleuchtung (in BE enthalten);0;psch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 9. 1.  30. ;;Winterbaubeheizung (in BE enthalten);0;psch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
